,D_Emis_transport,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
VT '88-89,0,0,2,0
WI '88-89,2,0,2,2
WV '88-89,2,2,2,2
WY '88-89,2,0,2,2
AK '89-90,0,2,2,0
AL '89-90,0,2,0,0
AR '89-90,0,2,0,0
AZ '89-90,2,0,0,0
CA '89-90,2,2,2,0
CO '89-90,2,2,0,2
CT '89-90,0,2,2,0
DC '89-90,0,2,0,0
DE '89-90,0,0,2,0
FL '89-90,1,0,2,0
GA '89-90,2,2,0,2
HI '89-90,1,0,2,2
IA '89-90,1,2,0,0
ID '89-90,2,2,0,2
IL '89-90,0,2,0,0
IN '89-90,2,2,0,2
KS '89-90,0,2,2,0
KY '89-90,0,2,0,0
LA '89-90,0,2,2,2
MA '89-90,0,0,2,0
MD '89-90,0,0,0,0
ME '89-90,2,2,2,0
MI '89-90,0,0,2,0
MN '89-90,0,2,0,0
MO '89-90,0,0,0,0
MS '89-90,2,2,2,2
MT '89-90,0,0,0,0
NC '89-90,0,0,0,0
ND '89-90,0,2,2,0
NE '89-90,0,2,0,0
NH '89-90,0,1,2,0
NJ '89-90,0,0,0,0
NM '89-90,2,0,2,2
NV '89-90,1,0,2,0
NY '89-90,2,0,2,0
OH '89-90,0,0,0,0
OK '89-90,0,2,2,0
OR '89-90,0,2,0,0
PA '89-90,2,0,0,0
RI '89-90,0,0,2,0
SC '89-90,2,0,2,2
SD '89-90,2,2,0,2
TN '89-90,0,2,0,0
TX '89-90,2,0,0,2
UT '89-90,2,2,2,2
VA '89-90,2,0,2,0
VT '89-90,1,0,2,0
WI '89-90,0,2,0,0
WV '89-90,2,0,0,0
WY '89-90,0,2,2,0
AK '90-91,0,2,2,0
AL '90-91,2,2,2,2
AR '90-91,2,2,0,0
AZ '90-91,2,2,0,2
CA '90-91,0,2,2,0
CO '90-91,2,0,2,2
CT '90-91,0,2,2,0
DC '90-91,1,0,2,0
DE '90-91,2,0,2,0
FL '90-91,0,2,2,0
GA '90-91,0,0,2,0
HI '90-91,0,2,0,0
IA '90-91,0,2,2,0
ID '90-91,0,2,2,2
IL '90-91,0,2,2,0
IN '90-91,0,0,2,0
KS '90-91,0,0,2,0
KY '90-91,1,0,2,0
LA '90-91,2,2,0,2
MA '90-91,0,2,2,0
MD '90-91,2,0,2,0
ME '90-91,0,2,2,0
MI '90-91,2,0,2,2
MN '90-91,2,0,2,2
MO '90-91,0,0,2,0
MS '90-91,2,0,0,2
MT '90-91,0,2,2,0
NC '90-91,0,0,2,0
ND '90-91,1,2,2,2
NE '90-91,0,2,2,0
NH '90-91,2,2,0,0
NJ '90-91,2,0,2,0
NM '90-91,0,0,0,2
NV '90-91,2,2,2,2
NY '90-91,0,2,2,0
OH '90-91,0,0,2,0
OK '90-91,2,2,0,2
OR '90-91,2,2,2,2
PA '90-91,0,0,0,0
RI '90-91,1,0,2,0
SC '90-91,2,2,2,2
SD '90-91,0,2,2,0
TN '90-91,0,0,2,0
TX '90-91,0,0,0,2
UT '90-91,2,0,2,2
VA '90-91,0,2,0,0
VT '90-91,1,2,2,2
WI '90-91,0,2,2,0
WV '90-91,2,0,0,0
WY '90-91,0,0,2,0
AK '91-92,0,0,2,2
AL '91-92,2,2,2,2
AR '91-92,0,2,2,2
AZ '91-92,2,2,2,2
CA '91-92,0,2,2,0
CO '91-92,2,2,0,2
CT '91-92,2,2,2,0
DC '91-92,1,0,2,0
