,D_Emis,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
SD '95-96,0,0,2,2
TN '95-96,2,0,2,2
TX '95-96,2,2,2,2
UT '95-96,2,0,2,2
VA '95-96,2,2,0,2
VT '95-96,2,0,2,2
WI '95-96,2,2,2,2
WV '95-96,2,2,2,0
WY '95-96,2,2,2,2
AK '96-97,0,2,0,2
AL '96-97,0,0,0,0
AR '96-97,0,0,0,2
AZ '96-97,2,2,2,2
CA '96-97,2,2,2,0
CO '96-97,2,2,0,0
CT '96-97,2,2,2,2
DC '96-97,0,2,2,0
DE '96-97,0,0,0,0
FL '96-97,2,2,0,2
GA '96-97,2,2,0,0
HI '96-97,0,2,0,0
IA '96-97,0,2,0,0
ID '96-97,0,0,2,0
IL '96-97,2,2,0,0
IN '96-97,2,2,0,2
KS '96-97,0,0,0,2
KY '96-97,2,2,0,2
LA '96-97,2,2,2,0
MA '96-97,2,2,2,2
MD '96-97,2,0,2,2
ME '96-97,2,0,2,2
MI '96-97,0,0,0,2
MN '96-97,0,0,0,0
MO '96-97,2,2,0,0
MS '96-97,2,2,0,2
MT '96-97,2,2,0,0
NC '96-97,2,2,2,2
ND '96-97,0,0,2,2
NE '96-97,2,2,0,0
NH '96-97,2,2,2,2
NJ '96-97,2,2,2,2
NM '96-97,2,2,2,2
NV '96-97,0,0,2,0
NY '96-97,2,2,2,0
OH '96-97,0,0,0,2
OK '96-97,2,2,0,0
OR '96-97,0,0,2,0
PA '96-97,2,2,0,2
RI '96-97,2,0,0,2
SC '96-97,2,2,2,2
SD '96-97,2,2,0,0
TN '96-97,2,2,2,2
TX '96-97,2,2,0,2
UT '96-97,2,2,2,2
VA '96-97,2,2,0,2
VT '96-97,2,2,2,2
WI '96-97,2,2,0,2
WV '96-97,0,2,2,2
WY '96-97,2,0,2,0
AK '97-98,2,2,2,2
AL '97-98,2,0,2,0
AR '97-98,2,2,2,2
AZ '97-98,2,2,2,2
CA '97-98,2,0,2,2
CO '97-98,2,2,2,2
CT '97-98,0,0,0,0
DC '97-98,0,0,0,2
DE '97-98,0,0,0,2
FL '97-98,2,0,0,2
GA '97-98,2,0,0,2
HI '97-98,2,0,2,2
IA '97-98,2,2,0,2
ID '97-98,2,2,2,2
IL '97-98,0,0,0,0
IN '97-98,2,2,0,0
KS '97-98,0,0,0,2
KY '97-98,0,0,0,2
LA '97-98,0,0,0,0
MA '97-98,0,0,0,2
MD '97-98,2,2,0,2
ME '97-98,0,0,0,0
MI '97-98,2,2,0,2
MN '97-98,2,2,0,0
MO '97-98,2,2,0,2
MS '97-98,2,0,0,2
MT '97-98,2,2,0,0
NC '97-98,2,0,0,2
ND '97-98,2,2,0,0
NE '97-98,2,2,0,2
NH '97-98,2,0,0,2
NJ '97-98,0,0,0,0
NM '97-98,0,2,0,2
NV '97-98,2,2,2,2
NY '97-98,0,2,0,2
OH '97-98,0,2,0,0
OK '97-98,0,0,2,2
OR '97-98,2,2,2,2
PA '97-98,0,0,0,2
RI '97-98,2,0,2,0
SC '97-98,2,2,2,2
SD '97-98,0,0,0,0
TN '97-98,0,0,0,2
TX '97-98,2,0,2,2
UT '97-98,2,2,2,2
VA '97-98,2,2,2,2
VT '97-98,0,0,0,0
WI '97-98,2,0,0,2
WV '97-98,2,2,0,2
WY '97-98,0,2,2,0
AK '98-99,2,0,0,2
AL '98-99,2,2,2,2
AR '98-99,2,2,0,2
AZ '98-99,2,2,2,2
CA '98-99,2,2,0,2
CO '98-99,2,0,2,2
CT '98-99,2,0,2,2
DC '98-99,2,0,2,0
DE '98-99,2,0,2,2
FL '98-99,0,0,2,2
GA '98-99,2,2,0,2
HI '98-99,0,0,2,0
IA '98-99,2,2,2,2
ID '98-99,2,0,2,2
IL '98-99,2,2,2,2
IN '98-99,2,2,2,2
KS '98-99,2,2,0,2
KY '98-99,2,2,2,2
LA '98-99,0,2,0,2
MA '98-99,0,2,0,0
MD '98-99,2,2,2,2
ME '98-99,2,0,2,2
MI '98-99,2,2,2,2
MN '98-99,2,0,2,2
MO '98-99,2,0,2,2
MS '98-99,2,2,2,2
MT '98-99,2,2,2,2
NC '98-99,0,0,2,0
ND '98-99,2,2,2,2
NE '98-99,0,0,0,2
NH '98-99,2,0,2,2
NJ '98-99,2,2,2,2
NM '98-99,2,2,0,2
NV '98-99,2,0,2,2
NY '98-99,2,0,2,2
OH '98-99,0,0,2,2
OK '98-99,0,0,0,2
OR '98-99,2,2,2,2
PA '98-99,0,0,2,0
RI '98-99,0,0,0,2
SC '98-99,2,2,2,2
SD '98-99,2,2,2,2
TN '98-99,2,0,0,2
TX '98-99,0,2,0,0
UT '98-99,0,0,0,2
VA '98-99,2,2,2,2
VT '98-99,2,2,2,2
WI '98-99,2,2,2,2
WV '98-99,2,2,0,0
WY '98-99,2,0,0,2
AK '99-00,2,2,2,0
AL '99-00,2,2,2,2
AR '99-00,2,2,0,2
AZ '99-00,2,2,2,2
CA '99-00,2,2,2,2
CO '99-00,2,2,2,2
CT '99-00,2,2,2,0
DC '99-00,2,2,2,2
DE '99-00,2,2,0,0
FL '99-00,2,2,0,2
GA '99-00,2,2,2,0
HI '99-00,2,0,2,2
IA '99-00,2,2,0,0
ID '99-00,2,2,2,2
IL '99-00,2,2,2,0
IN '99-00,2,2,2,2
KS '99-00,2,2,2,0
KY '99-00,2,2,2,0
LA '99-00,2,2,2,2
MA '99-00,2,2,0,2
MD '99-00,0,2,2,0
ME '99-00,2,2,2,0
MI '99-00,0,0,2,0
MN '99-00,2,2,2,2
MO '99-00,0,2,2,0
MS '99-00,0,2,0,0
MT '99-00,0,0,2,0
NC '99-00,2,2,2,2
ND '99-00,2,2,0,0
NE '99-00,0,2,2,0
NH '99-00,2,2,2,0
NJ '99-00,0,2,0,2
NM '99-00,2,2,2,0
NV '99-00,2,2,2,2
NY '99-00,2,2,0,2
OH '99-00,2,2,2,0
OK '99-00,2,2,0,2
OR '99-00,0,2,0,0
PA '99-00,2,2,2,2
RI '99-00,0,2,0,0
SC '99-00,2,2,0,2
SD '99-00,2,2,2,2
TN '99-00,2,2,0,2
TX '99-00,2,2,2,0
UT '99-00,2,2,2,2
VA '99-00,2,2,0,2
VT '99-00,2,0,2,2
WI '99-00,0,2,2,0
WV '99-00,2,0,2,2
WY '99-00,2,2,2,0
AK '00-01,0,0,0,2
AL '00-01,0,0,0,0
AR '00-01,0,2,0,0
AZ '00-01,2,0,2,2
CA '00-01,2,0,2,2
CO '00-01,2,2,2,2
CT '00-01,0,2,0,0
DC '00-01,0,2,0,0
DE '00-01,0,0,2,2
FL '00-01,0,0,0,2
GA '00-01,0,0,0,0
HI '00-01,2,2,0,2
IA '00-01,0,0,0,0
ID '00-01,0,0,2,0
IL '00-01,0,0,0,0
IN '00-01,0,0,0,0
KS '00-01,0,0,0,0
KY '00-01,2,2,0,2
LA '00-01,0,0,0,0
