Years,State_Code,CLTCB,NGTCB,PMTCB,FFTCB,RETCB,TERCB,TECCB,TEICB,TEACB,BMTCB,ELISB,NUETB
1963,KY,368036.0,173508.0,228153.0,769697.0,47591.0,140562.0,62313.0,504552.0,180892.0,23192.0,71032.0,0.0
1964,KY,401711.0,179666.0,234448.0,815825.0,47022.0,139649.0,56202.0,506536.0,187832.0,21760.0,27371.0,0.0
1965,KY,415492.0,176734.0,255784.0,848010.0,47438.0,144459.0,59849.0,503506.0,191777.0,21678.0,4142.0,0.0
1966,KY,426294.0,152219.0,281670.0,860183.0,49311.0,143499.0,61616.0,495299.0,205416.0,22592.0,-3662.0,0.0
1967,KY,434203.0,197083.0,292795.0,924081.0,61073.0,160904.0,76574.0,501983.0,214533.0,22511.0,-31159.0,0.0
1968,KY,444142.0,201137.0,319352.0,964630.0,53358.0,185140.0,85455.0,511239.0,232321.0,22928.0,-3833.0,0.0
1969,KY,470838.0,240050.0,341218.0,1052106.0,51326.0,204116.0,95272.0,526058.0,247884.0,23353.0,-30102.0,0.0
1970,KY,527054.0,252265.0,357631.0,1136950.0,57023.0,213695.0,99974.0,529710.0,261341.0,23719.0,-89252.0,0.0
1971,KY,550397.0,248514.0,360989.0,1159900.0,61912.0,213323.0,100610.0,538289.0,265443.0,24859.0,-104146.0,0.0
1972,KY,583808.0,259546.0,387962.0,1231316.0,66566.0,206100.0,106007.0,606684.0,284282.0,27438.0,-94808.0,0.0
1973,KY,573386.0,250136.0,417414.0,1240937.0,67629.0,211007.0,115277.0,613636.0,297055.0,27910.0,-71591.0,0.0
1974,KY,593822.0,231423.0,408739.0,1233984.0,66669.0,208025.0,120634.0,612605.0,287068.0,31187.0,-72321.0,0.0
1975,KY,558334.0,209199.0,415496.0,1183030.0,66857.0,227041.0,129343.0,633944.0,288098.0,30821.0,28539.0,0.0
1976,KY,617452.0,248673.0,446144.0,1312268.0,68110.0,252065.0,155669.0,689836.0,302855.0,35344.0,20045.0,0.0
1977,KY,613466.0,221936.0,478067.0,1313469.0,64140.0,271659.0,162997.0,669798.0,309564.0,29568.0,36410.0,0.0
1978,KY,617183.0,215021.0,497715.0,1329918.0,70514.0,270387.0,162386.0,633524.0,333814.0,37550.0,-321.0,0.0
1979,KY,609287.0,220854.0,502174.0,1332315.0,82531.0,266242.0,162710.0,661486.0,342198.0,41737.0,17791.0,0.0
1980,KY,641685.0,204104.0,481043.0,1326790.0,55822.0,266005.0,164942.0,613018.0,324017.0,25284.0,-14630.0,0.0
1981,KY,663926.0,202237.0,432910.0,1299071.0,55159.0,260471.0,153803.0,559810.0,323231.0,27999.0,-56917.0,0.0
1982,KY,626978.0,191175.0,429833.0,1247854.0,69516.0,263998.0,153643.0,525908.0,318534.0,34572.0,-55286.0,0.0
1983,KY,637850.0,177792.0,449654.0,1265031.0,65792.0,266351.0,163213.0,514256.0,332803.0,31669.0,-54200.0,0.0
1984,KY,670985.0,193419.0,457857.0,1322165.0,77261.0,274257.0,163353.0,600056.0,337644.0,40577.0,-24115.0,0.0
1985,KY,716929.0,177685.0,444399.0,1339009.0,73167.0,269111.0,159126.0,578108.0,323387.0,42440.0,-82444.0,0.0
1986,KY,749913.0,173525.0,450380.0,1373817.0,68813.0,271469.0,160376.0,528494.0,344232.0,40254.0,-138058.0,0.0
1987,KY,746716.0,178271.0,481870.0,1406857.0,66840.0,275422.0,160540.0,546440.0,358877.0,36128.0,-132417.0,0.0
1988,KY,821777.0,190890.0,511647.0,1524308.0,61978.0,291099.0,173888.0,567873.0,386223.0,36965.0,-167202.0,0.0
1989,KY,767632.0,195872.0,527575.0,1491033.0,77084.0,298223.0,181100.0,625264.0,404451.0,30923.0,-59079.0,0.0
1990,KY,803503.0,191707.0,501555.0,1496763.0,53391.0,267676.0,172697.0,642381.0,379595.0,20277.0,-87805.0,0.0
1991,KY,802748.0,196253.0,497931.0,1496930.0,59493.0,293899.0,184778.0,629784.0,378096.0,21060.0,-69866.0,0.0
1992,KY,812932.0,200904.0,528196.0,1542027.0,61359.0,287602.0,182858.0,684133.0,393921.0,22118.0,-54871.0,0.0
1993,KY,921147.0,213069.0,526612.0,1660812.0,50100.0,305986.0,188345.0,684891.0,407849.0,17276.0,-123842.0,0.0
1994,KY,896399.0,221322.0,528177.0,1645845.0,57565.0,303947.0,193544.0,731309.0,405793.0,15791.0,-68817.0,0.0
1995,KY,929379.0,245578.0,540851.0,1715802.0,51655.0,321342.0,201611.0,758474.0,421760.0,15948.0,-64269.0,0.0
1996,KY,952091.0,248057.0,527252.0,1727352.0,55609.0,334912.0,205551.0,784439.0,396465.0,18997.0,-61594.0,0.0
1997,KY,977760.0,239332.0,563514.0,1780581.0,48522.0,320461.0,220963.0,761045.0,427334.0,13508.0,-99300.0,0.0
1998,KY,958990.0,212108.0,580206.0,1751303.0,43807.0,313384.0,220530.0,729158.0,424989.0,11476.0,-107048.0,0.0
1999,KY,987592.0,225393.0,606779.0,1819761.0,38509.0,333500.0,236401.0,763978.0,440965.0,11764.0,-83426.0,0.0
2000,KY,997621.0,234181.0,594541.0,1826333.0,36286.0,348162.0,245380.0,731241.0,441204.0,11972.0,-96631.0,0.0
2001,KY,1013055.0,216707.0,627963.0,1857722.0,53502.0,335441.0,243262.0,769639.0,447959.0,12987.0,-114924.0,0.0
2002,KY,950941.0,236125.0,683158.0,1870222.0,65018.0,368828.0,259184.0,856487.0,463106.0,23337.0,12366.0,0.0
2003,KY,943652.0,231486.0,644470.0,1819505.0,70460.0,360152.0,252672.0,820715.0,448255.0,29511.0,-8172.0,0.0
2004,KY,961759.0,233361.0,703989.0,1899109.0,71088.0,358529.0,258069.0,854910.0,484232.0,32124.0,-14458.0,0.0
2005,KY,986263.0,240869.0,697645.0,1924761.0,74390.0,381013.0,265004.0,860877.0,475522.0,43509.0,-16734.0,0.0
2006,KY,1023263.0,217169.0,699444.0,1939873.0,69113.0,361405.0,257776.0,881812.0,471912.0,41976.0,-36081.0,0.0
2007,KY,1020709.0,236003.0,690076.0,1946660.0,64542.0,394040.0,274054.0,882107.0,492681.0,46400.0,31680.0,0.0
2008,KY,1024816.0,233180.0,645708.0,1903689.0,70351.0,393659.0,271128.0,885164.0,457295.0,49552.0,33207.0,0.0
2009,KY,937106.0,214279.0,641456.0,1792823.0,83846.0,383398.0,257565.0,823169.0,465287.0,49148.0,52751.0,0.0
2010,KY,1009823.0,239062.0,634797.0,1883677.0,83720.0,412714.0,263991.0,843369.0,472721.0,55937.0,25398.0,0.0
2011,KY,1010623.0,229056.0,617999.0,1857670.0,87572.0,383276.0,253109.0,818902.0,463796.0,55935.0,-26160.0,0.0
2012,KY,909705.0,232702.0,601539.0,1743945.0,77808.0,361423.0,252056.0,822925.0,443518.0,52528.0,58168.0,0.0
2013,KY,914774.0,235733.0,569132.0,1719609.0,92364.0,384824.0,284459.0,716427.0,437880.0,58219.0,11618.0,0.0
2014,KY,913452.0,262332.0,577365.0,1753096.0,93082.0,393757.0,264088.0,664838.0,450114.0,60287.0,-73382.0,0.0
2015,KY,796484.0,276919.0,593375.0,1666727.0,86328.0,360090.0,265076.0,641706.0,462212.0,51701.0,-23971.0,0.0
2016,KY,736584.0,280002.0,607068.0,1623587.0,87042.0,354150.0,270206.0,613056.0,466146.0,51856.0,-7069.0,0.0
2017,KY,639356.0,296965.0,581243.0,1517511.0,97301.0,331991.0,257046.0,598457.0,470715.0,52594.0,43388.0,0.0
1960,LA,0.0,1003771.0,466937.0,1470708.0,38992.0,107732.0,69509.0,1067979.0,256944.0,38992.0,-7537.0,0.0
1961,LA,1.0,1064610.0,469790.0,1534401.0,37174.0,109387.0,79458.0,1122275.0,253709.0,37174.0,-6746.0,0.0
1962,LA,0.0,1050301.0,489667.0,1539969.0,36785.0,119282.0,76832.0,1128300.0,255773.0,36785.0,3433.0,0.0
1963,LA,2.0,1128773.0,578993.0,1707768.0,39147.0,127030.0,84977.0,1268149.0,267091.0,39147.0,333.0,0.0
1964,LA,1.0,1201445.0,626747.0,1828192.0,39291.0,141088.0,91695.0,1349757.0,283681.0,39291.0,-1262.0,0.0
1965,LA,0.0,1156449.0,637032.0,1793482.0,38299.0,136457.0,92231.0,1293186.0,311121.0,38299.0,1216.0,0.0
1966,LA,0.0,1245597.0,695295.0,1940892.0,39754.0,150239.0,100735.0,1404053.0,318865.0,39754.0,-6754.0,0.0
1967,LA,0.0,1440390.0,750617.0,2191007.0,37685.0,162592.0,134156.0,1599081.0,340713.0,37685.0,7851.0,0.0
1968,LA,0.0,1539750.0,820845.0,2360595.0,40791.0,178110.0,150363.0,1735161.0,358477.0,40791.0,20725.0,0.0
1969,LA,0.0,1784110.0,885800.0,2669910.0,40698.0,197023.0,161215.0,1957500.0,385716.0,40698.0,-9155.0,0.0
1970,LA,0.0,1894224.0,900341.0,2794566.0,41620.0,210876.0,186756.0,2047081.0,392151.0,41620.0,677.0,0.0
1971,LA,0.0,1938558.0,922075.0,2860633.0,41912.0,213879.0,191243.0,2101771.0,390660.0,41912.0,-4992.0,0.0
1972,LA,0.0,1996015.0,1040684.0,3036700.0,44819.0,233954.0,202516.0,2221317.0,425494.0,44819.0,1768.0,0.0
1973,LA,0.0,2072164.0,1192015.0,3264179.0,45748.0,250339.0,212894.0,2379819.0,474451.0,45748.0,7583.0,0.0
1974,LA,0.0,2068614.0,1258807.0,3327421.0,44928.0,248400.0,218018.0,2432554.0,509274.0,44928.0,35894.0,0.0
1975,LA,0.0,1854766.0,1205113.0,3059878.0,42358.0,249624.0,187075.0,2159819.0,511108.0,42358.0,5390.0,0.0
1976,LA,0.0,2121366.0,1378762.0,3500128.0,45170.0,255071.0,195246.0,2538838.0,546644.0,45170.0,-9507.0,0.0
1977,LA,1774.0,2274100.0,1605874.0,3881747.0,46692.0,276041.0,227369.0,2847770.0,585309.0,46692.0,8047.0,0.0
1978,LA,3747.0,2349710.0,1676335.0,4029792.0,47825.0,277822.0,258707.0,2970192.0,588509.0,47825.0,17615.0,0.0
1979,LA,2518.0,2051384.0,1875559.0,3929461.0,44717.0,280755.0,359780.0,2822813.0,581423.0,44717.0,70591.0,0.0
1980,LA,2456.0,1862179.0,1859707.0,3724342.0,64707.0,278536.0,282764.0,2701016.0,646701.0,64707.0,119968.0,0.0
1981,LA,23727.0,1847639.0,1843670.0,3715036.0,68263.0,292672.0,313706.0,2693871.0,661774.0,68263.0,178726.0,0.0
1982,LA,64251.0,1629186.0,1680476.0,3373914.0,69667.0,289108.0,306793.0,2460940.0,580654.0,69667.0,193920.0,0.0
1983,LA,106718.0,1472328.0,1560429.0,3139475.0,74654.0,277463.0,220516.0,2333849.0,599636.0,74654.0,217337.0,0.0
1984,LA,119071.0,1661309.0,1459360.0,3239740.0,78816.0,298065.0,231309.0,2447683.0,598755.0,78816.0,257260.0,0.0
1985,LA,159097.0,1441820.0,1426499.0,3027415.0,79343.0,299597.0,239223.0,2215593.0,585795.0,79343.0,207347.0,26102.0
1986,LA,171903.0,1496106.0,1523944.0,3191953.0,102343.0,294442.0,234013.0,2311014.0,661328.0,102343.0,93975.0,112532.0
1987,LA,172355.0,1560707.0,1502306.0,3235368.0,102199.0,293768.0,217857.0,2400370.0,652242.0,102199.0,97981.0,128688.0
1988,LA,212090.0,1506424.0,1587062.0,3305576.0,104615.0,294181.0,217051.0,2396315.0,694276.0,104615.0,45483.0,146152.0
1989,LA,207701.0,1622888.0,1572980.0,3403569.0,129814.0,303157.0,223510.0,2539317.0,693330.0,129643.0,94795.0,131136.0
1990,LA,208871.0,1654692.0,1611729.0,3475292.0,125516.0,317122.0,229213.0,2616290.0,690577.0,118502.0,102170.0,150230.0
1991,LA,214236.0,1596766.0,1646691.0,3457693.0,128100.0,316186.0,226416.0,2573294.0,725553.0,121049.0,109342.0,146317.0
1992,LA,223538.0,1619499.0,1735750.0,3578788.0,131568.0,312625.0,226090.0,2695963.0,725759.0,124568.0,141655.0,108433.0
1993,LA,223457.0,1637028.0,1759008.0,3619493.0,138255.0,330843.0,229446.0,2743616.0,723706.0,125335.0,118631.0,151238.0
1994,LA,230869.0,1649015.0,1865978.0,3745861.0,148325.0,328585.0,236958.0,2832484.0,764496.0,137993.0,134781.0,133562.0
1995,LA,216826.0,1737257.0,1819022.0,3773104.0,152242.0,347316.0,239767.0,2850643.0,764497.0,142091.0,112060.0,164812.0
1996,LA,205405.0,1687569.0,1955598.0,3848572.0,152597.0,354301.0,245418.0,2946787.0,834591.0,142258.0,214354.0,165578.0
1997,LA,226065.0,1857072.0,1929691.0,4012828.0,149694.0,351556.0,252157.0,3085965.0,801675.0,138717.0,187051.0,141785.0
1998,LA,225283.0,1679040.0,1850600.0,3754922.0,147538.0,374154.0,265996.0,2800763.0,781167.0,136243.0,147281.0,172341.0
1999,LA,227687.0,1558295.0,1972528.0,3758510.0,148444.0,362718.0,267483.0,2812121.0,776300.0,139727.0,174650.0,137016.0
2000,LA,253263.0,1625863.0,2166184.0,4045310.0,142352.0,389606.0,290847.0,3002757.0,854208.0,136411.0,185021.0,164734.0
2001,LA,239990.0,1347228.0,1965937.0,3553155.0,136086.0,356067.0,267757.0,2628873.0,753034.0,127962.0,135451.0,181041.0
2002,LA,232109.0,1475464.0,1986027.0,3693600.0,144053.0,376576.0,277330.0,2711053.0,775051.0,134385.0,121651.0,180702.0
2003,LA,247978.0,1353179.0,1954979.0,3556136.0,152576.0,352287.0,269378.0,2591045.0,771809.0,142784.0,107737.0,168069.0
2004,LA,256716.0,1393140.0,2065896.0,3715752.0,189660.0,355191.0,275702.0,2799910.0,756428.0,177812.0,103705.0,178110.0
2005,LA,253518.0,1367497.0,1975571.0,3596586.0,151476.0,371331.0,280911.0,2658746.0,716379.0,142401.0,115704.0,163598.0
2006,LA,265214.0,1346690.0,2127341.0,3739245.0,149617.0,344131.0,265047.0,2851965.0,769679.0,141479.0,167333.0,174634.0
2007,LA,249800.0,1430621.0,2130984.0,3811405.0,150499.0,346312.0,284976.0,2945520.0,708605.0,141127.0,144388.0,179127.0
