Years,State,CO2_Emissions
1998,Arkansas,61.74357954211215
1999,Arkansas,64.05157885106088
2000,Arkansas,64.35520775706314
2001,Arkansas,63.62864592891626
2002,Arkansas,62.15596833404764
2003,Arkansas,62.81849583527122
2004,Arkansas,63.37533597386831
2005,Arkansas,61.08076091241911
2006,Arkansas,62.91800258217435
2007,Arkansas,64.21332007209053
2008,Arkansas,65.1419089276263
2009,Arkansas,62.41965309767448
2010,Arkansas,66.72373135448899
2011,Arkansas,68.14575529263352
2012,Arkansas,67.03620586615614
2013,Arkansas,69.3431682687834
2014,Arkansas,69.8925548268733
2015,Arkansas,60.01148082146086
2016,Arkansas,62.7543161719136
1990,California,362.9647254078906
1991,California,350.4408931044595
1992,California,356.3705249621282
1993,California,344.135972866051
1994,California,360.6999342863385
1995,California,349.382008768211
1996,California,347.889790184748
1997,California,349.5215291380705
1998,California,362.2993317804092
1999,California,366.3136751354376
2000,California,381.6938607229125
2001,California,386.8482341167064
2002,California,385.3615256647502
2003,California,373.8457219170353
2004,California,393.1861812321351
2005,California,390.1335666835465
2006,California,398.3024098792058
2007,California,403.1277660182388
2008,California,387.4281380690841
2009,California,373.8008826201761
2010,California,367.8176525891975
2011,California,353.2249045677416
2012,California,358.6040285364085
2013,California,360.7167229025663
2014,California,357.4990774816918
2015,California,365.4099074068185
2016,California,363.3429658686151
1990,Colorado,65.76162774330172
1991,Colorado,67.48868022159542
1992,Colorado,68.75360314235543
1993,Colorado,72.28711334534259
1994,Colorado,72.78108226493094
1995,Colorado,72.8983725582674
1996,Colorado,75.82014488370616
1997,Colorado,75.82378593891079
1998,Colorado,78.63059833889118
1999,Colorado,80.5863867902009
2000,Colorado,85.48909574982015
2001,Colorado,93.83048864250016
2002,Colorado,91.95456149496361
2003,Colorado,91.26251019133056
2004,Colorado,94.53527026856297
2005,Colorado,96.79559684416809
2006,Colorado,97.70027127382069
2007,Colorado,100.2541001393224
2008,Colorado,98.38813748378593
2009,Colorado,94.15203442663528
2010,Colorado,96.61173344421634
2011,Colorado,92.83931689546155
2012,Colorado,91.90557920387047
2013,Colorado,92.35203488371373
2014,Colorado,92.91106792306537
2015,Colorado,91.58099110400653
2016,Colorado,89.52953154915929
1990,Connecticut,41.28112478093171
1991,Connecticut,40.44764254997875
1992,Connecticut,40.93336404886092
1993,Connecticut,38.75586399599118
1994,Connecticut,38.05665139974909
1995,Connecticut,37.34572473785622
1996,Connecticut,40.18291100740002
1997,Connecticut,43.11406659846853
1998,Connecticut,40.99284603354497
1999,Connecticut,42.27228038593172
2000,Connecticut,43.47410520849312
2001,Connecticut,42.28271780141024
2002,Connecticut,40.64132735676291
2003,Connecticut,43.33185019528177
2004,Connecticut,45.3370528307966
2005,Connecticut,44.80600854955236
2006,Connecticut,41.66209172801268
2007,Connecticut,40.83531662438183
2008,Connecticut,38.25359051334197
2009,Connecticut,36.48433115267528
2010,Connecticut,36.77089860574182
2011,Connecticut,35.34153643023485
2012,Connecticut,34.66599501449239
2013,Connecticut,35.35821656843754
2014,Connecticut,35.60626767531578
2015,Connecticut,36.96912631989228
2016,Connecticut,34.49012973207062
1990,Delaware,16.62225312476152
1991,Delaware,17.43656903931528
1992,Delaware,16.36330528380258
1993,Delaware,17.76096420922773
1994,Delaware,17.11976313590426
1995,Delaware,16.32101577664515
1996,Delaware,16.93956060555264
1997,Delaware,15.48132336092205
1998,Delaware,15.1538781077583
1999,Delaware,15.35749699084603
2000,Delaware,16.15203332596784
2001,Delaware,15.69833668510467
